innings_num,day,over,ball_in_match,batting_team,innings_runs,innings_wickets,current_lead,p_England_win,p_India_win,p_draw
1.0,1.0,31.0,188.0,India,86.0,2.0,86.0,0.34994632,0.38805404,0.2619996
1.0,1.0,31.0,189.0,India,86.0,3.0,86.0,0.3896064,0.3670963,0.24329731
1.0,1.0,31.0,190.0,India,86.0,3.0,86.0,0.38703817,0.3712683,0.24169354
1.0,1.0,31.0,191.0,India,86.0,3.0,86.0,0.38703817,0.3712683,0.24169354
1.0,1.0,31.0,192.0,India,87.0,3.0,87.0,0.40247595,0.3462199,0.25130415
1.0,1.0,31.0,193.0,India,87.0,3.0,87.0,0.40247595,0.3462199,0.25130415
1.0,1.0,32.0,194.0,India,87.0,3.0,87.0,0.37896687,0.379516,0.24151713
1.0,1.0,32.0,195.0,India,87.0,3.0,87.0,0.37717664,0.3777232,0.24510017
1.0,1.0,32.0,196.0,India,87.0,3.0,87.0,0.37717664,0.3777232,0.24510017
1.0,1.0,32.0,197.0,India,87.0,3.0,87.0,0.37717664,0.3777232,0.24510017
1.0,1.0,32.0,198.0,India,88.0,3.0,88.0,0.40204203,0.33673057,0.2612274
1.0,1.0,32.0,199.0,India,89.0,3.0,89.0,0.38726172,0.36108455,0.25165376
1.0,1.0,33.0,200.0,India,89.0,3.0,89.0,0.40809897,0.33331972,0.25858134
1.0,1.0,33.0,201.0,India,89.0,3.0,89.0,0.40809897,0.33331972,0.25858134
1.0,1.0,33.0,202.0,India,89.0,3.0,89.0,0.40910485,0.33167648,0.2592187
1.0,1.0,33.0,203.0,India,89.0,3.0,89.0,0.40910485,0.33167648,0.2592187
1.0,1.0,33.0,204.0,India,89.0,3.0,89.0,0.40910485,0.33167648,0.2592187
1.0,1.0,33.0,205.0,India,89.0,3.0,89.0,0.40910485,0.33167648,0.2592187
1.0,1.0,34.0,206.0,India,90.0,3.0,90.0,0.40405014,0.33189592,0.2640539
1.0,1.0,34.0,207.0,India,90.0,3.0,90.0,0.40405014,0.33189592,0.2640539
1.0,1.0,34.0,208.0,India,90.0,3.0,90.0,0.40405014,0.33189592,0.2640539
1.0,1.0,34.0,209.0,India,90.0,3.0,90.0,0.40405014,0.33189592,0.2640539
1.0,1.0,34.0,210.0,India,90.0,3.0,90.0,0.40405014,0.33189592,0.2640539
1.0,1.0,34.0,211.0,India,91.0,3.0,91.0,0.38940126,0.35608795,0.2545108
1.0,1.0,35.0,212.0,India,91.0,3.0,91.0,0.40930074,0.32281154,0.26788774
1.0,1.0,35.0,213.0,India,91.0,3.0,91.0,0.40765822,0.3215161,0.2708257
1.0,1.0,35.0,214.0,India,95.0,3.0,95.0,0.41145265,0.3192511,0.2692962
1.0,1.0,35.0,215.0,India,95.0,3.0,95.0,0.4107065,0.31867215,0.2706214
1.0,1.0,35.0,216.0,India,95.0,3.0,95.0,0.4107065,0.31867215,0.2706214
1.0,1.0,35.0,217.0,India,95.0,3.0,95.0,0.40972,0.3179067,0.2723733
1.0,1.0,36.0,218.0,India,95.0,3.0,95.0,0.3900927,0.35094073,0.25896657
1.0,1.0,36.0,219.0,India,95.0,3.0,95.0,0.38879415,0.3497725,0.2614333
1.0,1.0,36.0,220.0,India,99.0,3.0,99.0,0.39187077,0.34462714,0.26350206
1.0,1.0,36.0,221.0,India,99.0,3.0,99.0,0.38879415,0.3497725,0.2614333
1.0,1.0,36.0,222.0,India,99.0,3.0,99.0,0.38879415,0.3497725,0.2614333
1.0,1.0,36.0,223.0,India,103.0,3.0,103.0,0.3872683,0.3425878,0.27014387
1.0,1.0,37.0,224.0,India,103.0,3.0,103.0,0.40625677,0.30996102,0.2837822
1.0,1.0,37.0,225.0,India,103.0,3.0,103.0,0.40625677,0.30996102,0.2837822
1.0,1.0,37.0,226.0,India,103.0,3.0,103.0,0.40625677,0.30996102,0.2837822
1.0,1.0,37.0,227.0,India,103.0,3.0,103.0,0.40399325,0.31380567,0.2822011
1.0,1.0,37.0,228.0,India,103.0,3.0,103.0,0.40399325,0.31380567,0.2822011
1.0,1.0,37.0,229.0,India,104.0,3.0,104.0,0.39797825,0.3303273,0.27169445
1.0,1.0,38.0,230.0,India,104.0,3.0,104.0,0.4073496,0.31088883,0.28176156
1.0,1.0,38.0,231.0,India,108.0,3.0,108.0,0.39797541,0.29834172,0.30368286
1.0,1.0,38.0,232.0,India,108.0,3.0,108.0,0.40881002,0.30646384,0.2847262
1.0,1.0,38.0,233.0,India,108.0,3.0,108.0,0.40810636,0.30593634,0.28595734
1.0,1.0,38.0,234.0,India,108.0,3.0,108.0,0.40810636,0.30593634,0.28595734
1.0,1.0,38.0,235.0,India,108.0,3.0,108.0,0.4062497,0.3045445,0.2892058
1.0,1.0,39.0,236.0,India,108.0,3.0,108.0,0.39421207,0.3272013,0.2785866
1.0,1.0,39.0,237.0,India,109.0,3.0,109.0,0.40224287,0.30689856,0.29085854
1.0,1.0,39.0,238.0,India,109.0,3.0,109.0,0.40224287,0.30689856,0.29085854
1.0,1.0,39.0,239.0,India,109.0,3.0,109.0,0.40224287,0.30689856,0.29085854
1.0,1.0,39.0,240.0,India,109.0,3.0,109.0,0.40224287,0.30689856,0.29085854
1.0,1.0,39.0,241.0,India,109.0,3.0,109.0,0.40002376,0.31072232,0.28925392
1.0,1.0,40.0,242.0,India,109.0,3.0,109.0,0.38688105,0.34270856,0.2704104
1.0,1.0,40.0,243.0,India,109.0,3.0,109.0,0.38499382,0.3472006,0.26780558
1.0,1.0,40.0,244.0,India,109.0,3.0,109.0,0.38499704,0.3472035,0.2677995
1.0,1.0,40.0,245.0,India,109.0,3.0,109.0,0.38499704,0.3472035,0.2677995
1.0,1.0,40.0,246.0,India,109.0,3.0,109.0,0.38385522,0.34617376,0.26997104
1.0,1.0,40.0,247.0,India,109.0,3.0,109.0,0.38385522,0.34617376,0.26997104
1.0,1.0,41.0,248.0,India,109.0,3.0,109.0,0.39645305,0.3135145,0.29003245
1.0,1.0,41.0,249.0,India,109.0,3.0,109.0,0.39585966,0.31304523,0.29109508
1.0,1.0,41.0,250.0,India,113.0,3.0,113.0,0.3999955,0.29917726,0.30082726
1.0,1.0,41.0,251.0,India,113.0,3.0,113.0,0.3999955,0.29917726,0.30082726
1.0,1.0,41.0,252.0,India,113.0,3.0,113.0,0.39453852,0.30533445,0.300127
1.0,1.0,41.0,253.0,India,113.0,4.0,113.0,0.423583,0.35570303,0.22071394
1.0,1.0,42.0,254.0,India,113.0,4.0,113.0,0.40720016,0.3737278,0.21907212
1.0,1.0,42.0,255.0,India,113.0,4.0,113.0,0.40720016,0.3737278,0.21907212
1.0,1.0,42.0,256.0,India,115.0,4.0,115.0,0.40679848,0.37335914,0.2198424
1.0,1.0,42.0,257.0,India,115.0,4.0,115.0,0.40679848,0.37335914,0.2198424
1.0,1.0,42.0,258.0,India,115.0,4.0,115.0,0.40679848,0.37335914,0.2198424
1.0,1.0,42.0,259.0,India,115.0,4.0,115.0,0.40679848,0.37335914,0.2198424
1.0,1.0,43.0,260.0,India,115.0,4.0,115.0,0.4203055,0.35295075,0.22674379
1.0,1.0,43.0,261.0,India,115.0,4.0,115.0,0.4203055,0.35295075,0.22674379
1.0,1.0,43.0,262.0,India,115.0,4.0,115.0,0.4203055,0.35295075,0.22674379
1.0,1.0,43.0,263.0,India,115.0,4.0,115.0,0.4203055,0.35295075,0.22674379
1.0,1.0,43.0,264.0,India,115.0,4.0,115.0,0.4203055,0.35295075,0.22674379
1.0,1.0,43.0,265.0,India,115.0,4.0,115.0,0.4203055,0.35295075,0.22674379
1.0,1.0,44.0,266.0,India,115.0,4.0,115.0,0.3005179,0.48621044,0.21327169
1.0,1.0,44.0,267.0,India,115.0,4.0,115.0,0.3005179,0.48621044,0.21327169
1.0,1.0,44.0,268.0,India,117.0,4.0,117.0,0.29241592,0.49184215,0.21574199
1.0,1.0,44.0,269.0,India,117.0,4.0,117.0,0.29241592,0.49184215,0.21574199
1.0,1.0,44.0,270.0,India,117.0,4.0,117.0,0.29241592,0.49184215,0.21574199
1.0,1.0,44.0,271.0,India,121.0,4.0,121.0,0.29011622,0.4958384,0.2140453
1.0,1.0,45.0,272.0,India,121.0,4.0,121.0,0.40216535,0.3666233,0.23121127
1.0,1.0,45.0,273.0,India,121.0,4.0,121.0,0.40216535,0.3666233,0.23121127
1.0,1.0,45.0,274.0,India,121.0,4.0,121.0,0.40216535,0.3666233,0.23121127
1.0,1.0,45.0,275.0,India,122.0,4.0,122.0,0.40187633,0.36488733,0.23323637
1.0,1.0,45.0,276.0,India,122.0,4.0,122.0,0.40187633,0.36488733,0.23323637
1.0,1.0,45.0,277.0,India,122.0,4.0,122.0,0.40187633,0.36488733,0.23323637
1.0,1.0,46.0,278.0,India,122.0,4.0,122.0,0.30350676,0.48326698,0.21322621
1.0,1.0,46.0,279.0,India,122.0,4.0,122.0,0.30350676,0.48326698,0.21322621
1.0,1.0,46.0,280.0,India,122.0,4.0,122.0,0.30350676,0.48326698,0.21322621
1.0,1.0,46.0,281.0,India,122.0,4.0,122.0,0.30350676,0.48326698,0.21322621
1.0,1.0,46.0,282.0,India,122.0,4.0,122.0,0.30350676,0.48326698,0.21322621
1.0,1.0,46.0,283.0,India,122.0,4.0,122.0,0.30350676,0.48326698,0.21322621
1.0,1.0,47.0,284.0,India,122.0,4.0,122.0,0.40187633,0.36488733,0.23323637
1.0,1.0,47.0,285.0,India,123.0,4.0,123.0,0.40216535,0.3666233,0.23121127
1.0,1.0,47.0,286.0,India,123.0,5.0,123.0,0.5003886,0.32967755,0.16993381
1.0,1.0,47.0,287.0,India,123.0,5.0,123.0,0.5003886,0.32967755,0.16993381
