innings_num,day,over,ball_in_match,batting_team,innings_runs,innings_wickets,current_lead,p_Australia_win,p_India_win,p_draw
1.0,1.0,24.0,148.0,Australia,64.0,2.0,64.0,0.501971,0.31015894,0.18787003
1.0,1.0,24.0,149.0,Australia,64.0,2.0,64.0,0.49812534,0.31255394,0.18932073
1.0,1.0,24.0,150.0,Australia,64.0,2.0,64.0,0.49542317,0.31085843,0.1937184
1.0,1.0,24.0,151.0,Australia,64.0,2.0,64.0,0.49391717,0.30991346,0.19616939
1.0,1.0,24.0,152.0,Australia,64.0,2.0,64.0,0.49391717,0.30991346,0.19616939
1.0,1.0,25.0,153.0,Australia,64.0,2.0,64.0,0.41346288,0.4027382,0.18379894
1.0,1.0,25.0,154.0,Australia,64.0,2.0,64.0,0.41346288,0.4027382,0.18379894
1.0,1.0,25.0,155.0,Australia,65.0,2.0,65.0,0.40616506,0.39562967,0.1982053
1.0,1.0,25.0,156.0,Australia,65.0,2.0,65.0,0.40616506,0.39562967,0.1982053
1.0,1.0,25.0,157.0,Australia,65.0,2.0,65.0,0.40616506,0.39562967,0.1982053
1.0,1.0,25.0,158.0,Australia,65.0,2.0,65.0,0.41141933,0.40074766,0.187833
1.0,1.0,26.0,159.0,Australia,65.0,2.0,65.0,0.4945457,0.3254801,0.17997414
1.0,1.0,26.0,160.0,Australia,65.0,2.0,65.0,0.49589327,0.326367,0.17773966
1.0,1.0,26.0,161.0,Australia,65.0,2.0,65.0,0.49476534,0.32562467,0.17960998
1.0,1.0,26.0,162.0,Australia,65.0,2.0,65.0,0.49176413,0.32971534,0.17852049
1.0,1.0,26.0,163.0,Australia,65.0,2.0,65.0,0.49176413,0.32971534,0.17852049
1.0,1.0,26.0,164.0,Australia,65.0,2.0,65.0,0.49176413,0.32971534,0.17852049
1.0,1.0,27.0,165.0,Australia,65.0,2.0,65.0,0.40662774,0.4232328,0.17013946
1.0,1.0,27.0,166.0,Australia,65.0,2.0,65.0,0.40662774,0.4232328,0.17013946
1.0,1.0,27.0,167.0,Australia,65.0,2.0,65.0,0.4065003,0.42341357,0.17008615
1.0,1.0,27.0,168.0,Australia,69.0,2.0,69.0,0.41071257,0.40995687,0.17933059
1.0,1.0,27.0,169.0,Australia,69.0,2.0,69.0,0.40881333,0.4080611,0.18312556
1.0,1.0,27.0,170.0,Australia,69.0,2.0,69.0,0.4119608,0.4112028,0.17683637
1.0,1.0,28.0,171.0,Australia,69.0,2.0,69.0,0.46018952,0.32689124,0.21291924
1.0,1.0,28.0,172.0,Australia,69.0,2.0,69.0,0.45738727,0.33099008,0.2116227
1.0,1.0,28.0,173.0,Australia,69.0,2.0,69.0,0.45738727,0.33099008,0.2116227
1.0,1.0,28.0,174.0,Australia,69.0,2.0,69.0,0.45738727,0.33099008,0.2116227
1.0,1.0,28.0,175.0,Australia,70.0,2.0,70.0,0.45214236,0.32719457,0.22066312
1.0,1.0,28.0,176.0,Australia,70.0,2.0,70.0,0.45214236,0.32719457,0.22066312
1.0,1.0,29.0,177.0,Australia,72.0,2.0,72.0,0.42059562,0.40941042,0.16999397
1.0,1.0,29.0,178.0,Australia,72.0,2.0,72.0,0.42482933,0.4034655,0.17170513
1.0,1.0,29.0,179.0,Australia,72.0,2.0,72.0,0.42164093,0.40794256,0.17041646
1.0,1.0,29.0,180.0,Australia,72.0,2.0,72.0,0.42164093,0.40794256,0.17041646
1.0,1.0,29.0,181.0,Australia,72.0,2.0,72.0,0.42164093,0.40794256,0.17041646
1.0,1.0,29.0,182.0,Australia,72.0,2.0,72.0,0.42164093,0.40794256,0.17041646
1.0,1.0,30.0,183.0,Australia,72.0,2.0,72.0,0.45554522,0.31769964,0.2267552
1.0,1.0,30.0,184.0,Australia,72.0,2.0,72.0,0.45554522,0.31769964,0.2267552
1.0,1.0,30.0,185.0,Australia,74.0,2.0,74.0,0.46145958,0.3040111,0.23452924
1.0,1.0,30.0,186.0,Australia,74.0,2.0,74.0,0.46277207,0.30203173,0.23519628
1.0,1.0,30.0,187.0,Australia,75.0,2.0,75.0,0.46656212,0.30450535,0.22893259
1.0,1.0,30.0,188.0,Australia,75.0,2.0,75.0,0.46656212,0.30450535,0.22893259
1.0,1.0,31.0,189.0,Australia,75.0,2.0,75.0,0.4201857,0.39096552,0.18884881
1.0,1.0,31.0,190.0,Australia,79.0,2.0,79.0,0.41609085,0.3623175,0.22159168
1.0,1.0,31.0,191.0,Australia,79.0,2.0,79.0,0.41472626,0.36112925,0.22414452
1.0,1.0,31.0,192.0,Australia,79.0,2.0,79.0,0.42211786,0.36756563,0.21031655
1.0,1.0,31.0,193.0,Australia,79.0,2.0,79.0,0.4196596,0.38329226,0.19704817
1.0,1.0,31.0,194.0,Australia,79.0,2.0,79.0,0.4231383,0.38646945,0.19039226
1.0,1.0,32.0,195.0,Australia,81.0,2.0,81.0,0.45726117,0.27928892,0.26344994
1.0,1.0,32.0,196.0,Australia,81.0,2.0,81.0,0.45547935,0.27820063,0.26632
1.0,1.0,32.0,197.0,Australia,81.0,2.0,81.0,0.46515727,0.28411174,0.25073102
1.0,1.0,32.0,198.0,Australia,81.0,2.0,81.0,0.46541348,0.29816732,0.23641916
1.0,1.0,32.0,199.0,Australia,81.0,2.0,81.0,0.46708086,0.29923555,0.23368365
1.0,1.0,32.0,200.0,Australia,82.0,2.0,82.0,0.46058577,0.29507446,0.24433973
1.0,1.0,33.0,201.0,Australia,82.0,2.0,82.0,0.42363873,0.38692656,0.18943466
1.0,1.0,33.0,202.0,Australia,82.0,2.0,82.0,0.42701364,0.390009,0.18297733
1.0,1.0,33.0,203.0,Australia,83.0,2.0,83.0,0.42546993,0.3730872,0.20144281
1.0,1.0,33.0,204.0,Australia,84.0,2.0,84.0,0.43545455,0.35583228,0.20871319
1.0,1.0,33.0,205.0,Australia,84.0,2.0,84.0,0.43312594,0.37123454,0.19563957
1.0,1.0,33.0,206.0,Australia,87.0,2.0,87.0,0.42420453,0.3466393,0.22915617
1.0,1.0,34.0,207.0,Australia,87.0,2.0,87.0,0.51617485,0.26608583,0.21773934
1.0,1.0,34.0,208.0,Australia,87.0,3.0,87.0,0.43554282,0.3858461,0.1786111
1.0,1.0,34.0,209.0,Australia,87.0,3.0,87.0,0.43554282,0.3858461,0.1786111
1.0,1.0,34.0,210.0,Australia,87.0,3.0,87.0,0.43554282,0.3858461,0.1786111
1.0,1.0,34.0,211.0,Australia,87.0,3.0,87.0,0.43667838,0.3868521,0.17646956
