innings_num,day,over,ball_in_match,batting_team,innings_runs,innings_wickets,current_lead,p_England_win,p_Australia_win,p_draw
1.0,1.0,22.0,142.0,England,99.0,0.0,99.0,0.60666716,0.21035214,0.18298072
1.0,1.0,22.0,143.0,England,103.0,0.0,103.0,0.61794436,0.20432115,0.17773448
1.0,1.0,22.0,144.0,England,103.0,0.0,103.0,0.61794436,0.20432115,0.17773448
1.0,1.0,23.0,145.0,England,103.0,0.0,103.0,0.55555844,0.19981422,0.24462733
1.0,1.0,23.0,146.0,England,107.0,0.0,107.0,0.56585264,0.19444636,0.239701
1.0,1.0,23.0,147.0,England,107.0,0.0,107.0,0.56585264,0.19444636,0.239701
1.0,1.0,23.0,148.0,England,108.0,0.0,108.0,0.5419961,0.24122435,0.21677953
1.0,1.0,23.0,149.0,England,108.0,0.0,108.0,0.5419961,0.24122435,0.21677953
1.0,1.0,23.0,150.0,England,109.0,0.0,109.0,0.56585264,0.19444636,0.239701
1.0,1.0,24.0,151.0,England,110.0,0.0,110.0,0.66997856,0.10717572,0.22284572
1.0,1.0,24.0,152.0,England,110.0,0.0,110.0,0.66997856,0.10717572,0.22284572
1.0,1.0,24.0,153.0,England,110.0,0.0,110.0,0.66997856,0.10717572,0.22284572
1.0,1.0,24.0,154.0,England,111.0,0.0,111.0,0.6261843,0.1577304,0.21608534
1.0,1.0,24.0,155.0,England,111.0,0.0,111.0,0.6261843,0.1577304,0.21608534
1.0,1.0,24.0,156.0,England,111.0,0.0,111.0,0.6261843,0.1577304,0.21608534
1.0,1.0,25.0,157.0,England,111.0,0.0,111.0,0.56961,0.18909727,0.24129267
1.0,1.0,25.0,158.0,England,112.0,0.0,112.0,0.54518706,0.2367571,0.2180558
1.0,1.0,25.0,159.0,England,112.0,0.0,112.0,0.54518706,0.2367571,0.2180558
1.0,1.0,25.0,160.0,England,112.0,1.0,112.0,0.5893924,0.21728888,0.19331874
1.0,1.0,25.0,161.0,England,112.0,1.0,112.0,0.58802134,0.2167834,0.19519527
1.0,1.0,25.0,162.0,England,113.0,1.0,113.0,0.60749066,0.21041006,0.18209927
1.0,1.0,26.0,163.0,England,114.0,1.0,114.0,0.695085,0.12267916,0.18223588
1.0,1.0,26.0,164.0,England,118.0,1.0,118.0,0.695085,0.12267916,0.18223588
1.0,1.0,26.0,165.0,England,124.0,1.0,124.0,0.69753,0.11959311,0.18287691
1.0,1.0,26.0,166.0,England,124.0,1.0,124.0,0.69753,0.11959311,0.18287691
1.0,1.0,26.0,167.0,England,128.0,1.0,128.0,0.6958063,0.11929759,0.18489608
1.0,1.0,26.0,168.0,England,128.0,1.0,128.0,0.6958063,0.11929759,0.18489608
1.0,1.0,27.0,169.0,England,132.0,1.0,132.0,0.70805645,0.11246643,0.17947713
1.0,1.0,27.0,170.0,England,132.0,1.0,132.0,0.70805645,0.11246643,0.17947713
1.0,1.0,27.0,171.0,England,132.0,1.0,132.0,0.70805645,0.11246643,0.17947713
1.0,1.0,27.0,172.0,England,132.0,1.0,132.0,0.70805645,0.11246643,0.17947713
1.0,1.0,27.0,173.0,England,132.0,1.0,132.0,0.70805645,0.11246643,0.17947713
1.0,1.0,27.0,174.0,England,132.0,1.0,132.0,0.70805645,0.11246643,0.17947713
1.0,1.0,28.0,175.0,England,135.0,1.0,135.0,0.7047793,0.14794232,0.14727837
1.0,1.0,28.0,176.0,England,135.0,1.0,135.0,0.7047793,0.14794232,0.14727837
1.0,1.0,28.0,177.0,England,135.0,1.0,135.0,0.7047793,0.14794232,0.14727837
1.0,1.0,28.0,178.0,England,137.0,1.0,137.0,0.7047793,0.14794232,0.14727837
1.0,1.0,28.0,179.0,England,141.0,1.0,141.0,0.7079234,0.14414123,0.14793539
1.0,1.0,28.0,180.0,England,145.0,1.0,145.0,0.7079234,0.14414123,0.14793539
1.0,1.0,28.0,181.0,England,146.0,1.0,146.0,0.7079234,0.14414123,0.14793539
1.0,1.0,29.0,182.0,England,146.0,1.0,146.0,0.7170527,0.10741583,0.17553149
1.0,1.0,29.0,183.0,England,150.0,1.0,150.0,0.721139,0.09758283,0.18127812
1.0,1.0,29.0,184.0,England,150.0,1.0,150.0,0.718958,0.0972877,0.18375431
1.0,1.0,29.0,185.0,England,151.0,1.0,151.0,0.71241236,0.09801995,0.18956766
1.0,1.0,29.0,186.0,England,155.0,1.0,155.0,0.71241236,0.09801995,0.18956766
1.0,1.0,29.0,187.0,England,155.0,1.0,155.0,0.71241236,0.09801995,0.18956766
1.0,1.0,30.0,188.0,England,155.0,1.0,155.0,0.72881967,0.12758897,0.14359139
1.0,1.0,30.0,189.0,England,155.0,1.0,155.0,0.72881967,0.12758897,0.14359139
1.0,1.0,30.0,190.0,England,156.0,1.0,156.0,0.72881967,0.12758897,0.14359139
1.0,1.0,30.0,191.0,England,156.0,1.0,156.0,0.72881967,0.12758897,0.14359139
1.0,1.0,30.0,192.0,England,156.0,1.0,156.0,0.72881967,0.12758897,0.14359139
1.0,1.0,30.0,193.0,England,156.0,1.0,156.0,0.72881967,0.12758897,0.14359139
1.0,1.0,30.0,194.0,England,160.0,1.0,160.0,0.7329723,0.12446275,0.14256492
1.0,1.0,31.0,195.0,England,162.0,1.0,162.0,0.7240479,0.08593412,0.190018
1.0,1.0,31.0,196.0,England,162.0,1.0,162.0,0.7240479,0.08593412,0.190018
1.0,1.0,31.0,197.0,England,162.0,1.0,162.0,0.7240479,0.08593412,0.190018
1.0,1.0,31.0,198.0,England,162.0,1.0,162.0,0.7240479,0.08593412,0.190018
1.0,1.0,31.0,199.0,England,162.0,1.0,162.0,0.7240479,0.08593412,0.190018
1.0,1.0,31.0,200.0,England,162.0,1.0,162.0,0.7240479,0.08593412,0.190018
